Transaction_ID,Country,Product,Import_Export,Quantity,Value,Date,Category,Port,Customs_Code,Weight,Shipping_Method,Supplier,Customer,Invoice_Number,Payment_Terms
e3e70682-c209-4cac-a29f-6fbed82c07cd,Colombia,describe,Export,1979,9506.57,07-12-2023,Machinery,Robertbury,620537,4248.65,Air,"Garrison, Hubbard and Hendricks",Seth Hall,21000294,Cash on Delivery
f728b4fa-4248-4e3a-8a5d-2f346baa9455,Chile,president,Export,5763,7100.91,04-04-2023,Clothing,Shahport,927600,4340.81,Air,Webb-Mack,Kimberly Ryan,88738432,Prepaid
eb1167b3-67a9-4378-bc65-c1e582e2e662,Turkey,far,Import,5740,2450.34,21-08-2024,Electronics,South Joshuatown,299258,4538.41,Air,"Mendez, Jones and Johnson",Ryan Silva,89922099,Prepaid
f7c1bd87-4da5-4709-9471-3d60c8a70639,Christmas Island,agency,Export,2592,7226.42,09-05-2022,Furniture,Adamfort,996084,4886.14,Air,Schroeder-Smith,Jacob Gray,63216265,Net 60
e443df78-9558-467f-9ba9-1faf7a024204,Finland,policy,Export,2622,2817.29,03-04-2023,Electronics,Juliebury,555981,4406.74,Air,Zimmerman LLC,Amy Stephens,94600248,Cash on Delivery
23a7711a-8133-4876-b7eb-dcd9e87a1613,New Zealand,positive,Export,6975,657.8,23-07-2021,Machinery,East Randall,741778,1497.16,Sea,Baker-Allen,Kelsey Alexander,60519670,Net 30
1846d424-c17c-4279-a3c6-612f48268673,Falkland Islands (Malvinas),back,Export,2746,8755.76,29-03-2022,Furniture,Port Crystalview,816682,1692.01,Land,Mercado-Smith,Daniel Hunter,50595982,Cash on Delivery
fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c,Bangladesh,population,Export,3582,9993.02,08-04-2020,Electronics,Wrightburgh,950200,842.84,Air,"Williams, Baird and Brown",David Kennedy,27293005,Net 60
b4862b21-fb97-4435-8856-1712e8e5216a,Burundi,last,Export,5432,3027.55,13-12-2021,Furniture,Ruizmouth,962651,1158.91,Air,"Brown, Thomas and Lucas",Laura Smith,50540228,Net 60
259f4329-e6f4-490b-9a16-4106cf6a659e,Nicaragua,sign,Import,7398,1999.99,29-09-2019,Machinery,South Andrewfurt,675397,574.61,Land,Mitchell Ltd,Douglas Hoffman,30986004,Net 60
12e0c8b2-bad6-40fb-9948-8dec4f65d4d9,Italy,bed,Import,1193,7478.57,12-11-2020,Toys,Dustinport,189133,4537.8,Sea,Thompson PLC,Taylor Myers,43375448,Net 60
5487ce1e-af19-422a-99b8-a714e61a441c,Burundi,safe,Export,9558,1154.23,16-01-2022,Electronics,Garciaville,412683,3676.36,Air,"Gomez, Washington and Mcdonald",Mary Carlson,35388533,Net 30
5a921187-19c7-4df4-8f4f-f31e78de5857,United Kingdom,along,Import,5608,8587.1,27-10-2023,Clothing,Nancyfurt,119389,510.95,Land,Sanchez and Sons,Casey Aguilar,50105611,Prepaid
a3f2c9bf-9c63-46b9-90f2-44556f25e2a2,Estonia,improve,Import,5123,1569.9,04-07-2022,Machinery,Sandrastad,506951,3676.74,Land,Pugh-Green,Donald Jackson,41835625,Net 30
8d723104-f773-43c1-b458-a748e9bb17bc,Malawi,understand,Export,6484,9490.3,21-05-2020,Clothing,South Kennethmouth,778573,277.99,Air,"Walsh, Hoover and Reid",Julia Sanchez,13581215,Net 30
85776e9a-dd84-439e-b154-5a137a1d5006,South Africa,information,Import,5046,7590.74,06-01-2022,Electronics,West Michael,337839,3634.81,Sea,Haley-Wright,Melissa Anderson,38583288,Prepaid
eb2083e6-ce16-4dba-8ff1-8e0242af9fc3,Greece,nature,Export,2226,3540.04,27-10-2022,Electronics,Jacksonberg,158602,517.44,Sea,Ayala Inc,Monique Barton,90400385,Cash on Delivery
17e0aa3c-0398-4ca8-aa7e-9d498c778ea6,Azerbaijan,stage,Import,4205,6708.52,19-08-2022,Furniture,East Kelly,909812,1388.98,Land,Booker-Perez,Henry Smith,69477848,Net 30
b5d32b16-6619-4cb1-9710-37d1b83e90ec,Angola,writer,Import,6258,5324.92,16-02-2021,Toys,North Hectormouth,699410,4157.56,Land,Gonzalez-Bush,James Jones,64696581,Cash on Delivery
a0116be5-ab0c-4681-88f8-e3d0d3290a4c,Grenada,than,Export,364,4880.31,05-03-2022,Electronics,North Alexanderberg,130182,570.14,Sea,Donovan-Allen,Brianna Oliver,50429731,Prepaid
